RH_percent,rho_s_Ohm_sq,tau_charging_s,tau_lower_s,tau_upper_s
20.0,7510384238663.025,88.76201454450073,36.34224219489699,216.79166584566016
21.53061224489796,6081176129712.216,71.87081604885715,28.956161819663983,178.38739235187163
23.06122448979592,4923942896317.756,58.19397211787017,23.071204655729765,146.78637034301605
24.591836734693878,3986928371920.9707,47.11979878666365,18.38228725138204,120.78341543317643
26.122448979591837,3228225464335.7964,38.153014081914826,14.646330334051457,99.38683959288589
27.653061224489793,2613901900516.1714,30.892587002022296,11.66965728043598,81.78063063406968
29.183673469387756,2116482637599.1143,25.013801783222565,9.29795368101343,67.2933315346602
30.714285714285715,1713721067486.8665,20.25373529285171,7.408267490357782,55.37243273772422
32.244897959183675,1387604058250.0557,16.399498039840022,5.902635041166423,45.56330081108498
33.775510204081634,1123546333765.766,13.278712892709562,4.703002486688435,37.49183985891698
35.30612244897959,909738160978.3455,10.75180567470169,3.7471793928541466,30.850224434677212
36.836734693877546,736617170710.1156,8.70576284016324,2.985614709321102,25.38515984415195
38.36734693877551,596440689705.1046,7.049077050145836,2.3788279817916695,20.88822211577809
39.89795918367347,482939456859.194,5.707654592846777,1.895362636474211,17.187909228729886
41.42857142857142,391037236421.2246,4.621501612125366,1.5101552324253278,14.143100452379183
42.95918367346939,316623788129.4741,3.742040938785086,1.2032361417992032,11.637674352604702
44.48979591836735,256371040586.70444,3.029939522428056,0.9586942996626107,9.576080209095212
46.02040816326531,207584246401.07144,2.453349297817177,0.7638523547266969,7.87969394851647
47.55102040816326,168081462146.76428,1.986482810150858,0.6086094597901103,6.483819617897063
49.08163265306123,136095962999.08981,1.6084598954318632,0.48491763133798005,5.335222041884226
50.612244897959194,110197227630.47244,1.3023738347960867,0.386364532131216,4.3900965655548845
52.14285714285714,89226959491.24826,1.054535217432982,0.3078410477199773,3.612398453821469
53.673469387755105,72247283087.2859,0.8538596945788118,0.24527642363701524,2.9724682348809126
55.20408163265307,58498798381.74238,0.6913722424567161,0.19542723245565558,2.4459005617248883
56.73469387755101,47366617343.566,0.5598057627903539,0.15570923050393512,2.012613452902332
58.265306122448976,38352863659.367584,0.4532760686771543,0.12406338747916833,1.656082415691853
59.79591836734694,31054405684.17205,0.3670187198704497,0.09884914377261238,1.3627102430467894
61.3265306122449,25144826758.23846,0.29717593767626327,0.0787593618320251,1.1213084499353612
62.857142857142854,20359826529.350685,0.24062406943422185,0.06275256253566606,0.9226705723479807
64.38775510204083,16485400368.464964,0.19483388609396804,0.04999893362761388,0.7592210556569238
65.91836734693878,13348268214.21121,0.15775746482774228,0.039837311224983164,0.6247263418036255
67.44897959183673,10808124785.331583,0.1277365976105054,0.03174090426519977,0.5140571368975608
68.9795918367347,8751364559.106731,0.10342862942761252,0.025289985006336193,0.42299279270407747
70.51020408163265,7086000871.338021,0.08374640929370307,0.020150129822291925,0.3480603416177251
72.0408163265306,5737551899.418091,0.06780966844868594,0.016054882268751368,0.2864020463152425
73.57142857142858,4645709532.956928,0.05490565116642501,0.012791939651838384,0.23566641276140562
75.10204081632652,3761642150.338686,0.04445723742611172,0.010192146994112007,0.19391851007481228
76.63265306122449,3045810670.4313064,0.03599713176282794,0.008120727831502595,0.1595661770763512
78.16326530612245,2466200204.4181523,0.02914696391794509,0.006470297234865055,0.13129930122162536
79.69387755102039,1996888220.045171,0.023600366585630875,0.005155294842550591,0.10803985416682721
81.22448979591836,1616885180.777907,0.019109273423611794,0.004107549305527833,0.08890077844882527
82.75510204081633,1309195808.546593,0.015472824519627885,0.0032727442004063583,0.07315215731968051
84.28571428571428,1060058985.9394637,0.012528383121012928,0.0026076021989265142,0.06019337753722471
85.81632653061224,858332303.1858051,0.010144261859091761,0.0020776415177825762,0.04953022346976051
87.34693877551021,694993724.3721654,0.008213833155631005,0.0016553883403653072,0.04075602894101255
88.87755102040815,562738085.3824558,0.006650760404817042,0.0013189525401581708,0.03353616799356396
90.40816326530611,455650377.31237805,0.005385136649867109,0.0010508928695279974,0.027595293087074785
91.93877551020408,368941203.2665406,0.0043603580602208925,0.0008373127838946735,0.022706834027897776
93.46938775510203,298732577.09264636,0.0035305923785244274,0.0006671400276874475,0.018684357145385702
95.0,241884484.10285446,0.002858729116081639,0.0005315526349336068,0.015374455175363117
